#time, goalRoll, Torque, speed, roll, steer, rollrate, steerrate, intE, fsmstate, kickangle, Tdelayed
0.005,0,0.0045093501287877605,108.71477026524433,-3.871068285548798e-06,1.9064346153903775e-05,-0.0007732427835454213,0.0003686426767796014,1.935534142774399e-08,driving,1.0999998498746328,0.0045093501287877605
0.01,0,6.582995997019205,1.9463054721198738,-0.23278322548777167,0.0023786482392652458,-0.005346687371242896,0.5481496500135463,0.001163935482780286,driving,1.1050001417862798,6.582995997019205
0.015,0,8.62494188479933,2.340727648811356,-0.2345721129367966,0.004303830843457949,-0.3699118436908995,0.8115206314154911,0.002336796047464269,driving,1.1097497688799816,8.62494188479933
0.02,0,7.856581824076937,2.5390137757702043,-0.23594999769314595,0.007709735425366302,-0.2896388003708938,1.0295923935585944,0.0035165460359299987,driving,1.114262131707735,7.856581824076937
0.025,0,6.918513715875641,2.6512358605261737,-0.23682110658018454,0.012747752474740203,-0.18786671289537868,1.2536007697832154,0.004700651568830922,driving,1.1185489110845885,6.918513715875641
0.030000000000000002,0,6.025870737164652,2.7463772893731133,-0.23725469227930257,0.01943969698826915,-0.09895715415692831,1.4894826219576545,0.005886925030227435,driving,1.1226213878275593,6.025870737164652
0.035,0,5.303342042288736,2.8443134021639,-0.23741320268704805,0.02771405007632785,-0.041657990758017294,1.7385319594393607,0.007073991043662675,driving,1.1264902743809102,5.303342042288736
0.04,0,4.721538004182404,2.9349959288275014,-0.23742203707834542,0.03748321409705522,-0.009341531325155864,1.9942263781388128,0.008261101229054402,driving,1.1301657357326784,4.721538004182404
0.045,0,4.24316036913166,2.98436230147813,-0.23736181062719094,0.04863649516514678,0.0063813025881552105,2.2458283823235696,0.009447910282190356,driving,1.1336574315870285,4.24316036913166
0.049999999999999996,0,3.8183546054334,2.9983822911790825,-0.23726937944599405,0.061083515142713,0.01414411814473967,2.4900423626860393,0.010634257179420327,driving,1.1369745386021375,3.8183546054334
0.05499999999999999,0,3.4432298778281836,3.004526678691385,-0.23718521661401878,0.074771083008303,0.013657587781704783,2.732752526163581,0.011820183262490421,driving,1.1401257903334823,3.4432298778281836
0.05999999999999999,0,3.23873051751752,3.0272019497032785,-0.23723315564967526,0.08954153494646863,-0.012699899834707568,2.9699137931323465,0.013006349040738798,driving,1.1431194434896688,3.23873051751752
0.06499999999999999,0,3.0353035458366344,3.0309698603365423,-0.23740686195985722,0.1053543066416585,-0.03732068470958101,3.1964470078061895,0.014193383350538085,driving,1.145963437615389,3.0353035458366344
0.06999999999999999,0,2.664979713214274,3.031206259766517,-0.2375689927969062,0.12228193514058752,-0.034980180517619294,3.413490573116497,0.015381228314522617,driving,1.1486652337526704,2.664979713214274
0.075,0,2.2843663937377583,3.0321600961568884,-0.23771604928198545,0.1403268509742151,-0.031970166031116465,3.6301570635643436,0.016569808560932545,driving,1.1512319413380914,2.2843663937377583
0.08,0,1.8973019973658918,3.0339541356906996,-0.23784816157124286,0.15948851670410766,-0.028974756640198374,3.8468748973694176,0.01775904936878876,driving,1.1536703150508552,1.8973019973658918
0.085,0,1.5037266516913022,3.036580578632266,-0.23796526886874025,0.1797657476959633,-0.02594837634273796,4.063460643305373,0.01894887571313246,driving,1.155986771679817,1.5037266516913022
0.09000000000000001,0,1.1192721202346965,3.0400333592801787,-0.2380673487884626,0.20109428304411708,-0.022888613529750787,4.267578009233603,0.020139212457074774,driving,1.1581874070455407,1.1192721202346965
0.09500000000000001,0,0.7973482139197765,3.044276979876747,-0.23815516018403615,0.22319851414304312,-0.019927476773809533,4.418061165219566,0.021329988257994953,driving,1.1602780121172078,0.7973482139197765
0.10000000000000002,0,0.5280722952012722,3.04929510286005,-0.23822926217354254,0.2458482556248367,-0.01703838667332233,4.523767085110194,0.022521134568862667,driving,1.162264088324949,0.5280722952012722
0.10500000000000002,0,0.303445042450206,3.055075537367179,-0.23829012601770516,0.2688507569534724,-0.014215336555551206,4.591973183904658,0.023712585198951194,driving,1.1641508620281094,0.303445042450206
0.11000000000000003,0,0.11666503711426479,3.0616077356442153,-0.23833815530163235,0.29204504839610235,-0.011454113889412709,4.62885855949434,0.024904275975459356,driving,1.1659432982715419,0.11666503711426479
0.11500000000000003,0,0.8108254976046609,3.079889100728394,-0.23908678206269357,0.314984619079582,-0.15057229496491242,4.707210635582637,0.026099709885772822,driving,1.167646076726284,0.8108254976046609
0.12000000000000004,0,0.7270092223811897,3.1009662474663706,-0.24000255487191535,0.33856485916800255,-0.18398284488363564,4.868953452502373,0.0272997226601324,driving,1.1692637071234262,0.7270092223811897
0.12500000000000003,0,0.5938498329992088,3.1238193899962807,-0.24102883769046057,0.36275218578231583,-0.20593048496888497,5.011250644859979,0.028504866848584703,driving,1.1708004696579375,0.5938498329992088
0.13000000000000003,0,-1.0939528319446539,3.0694949199048343,-0.23981793944312177,0.3802048363428793,0.24515293168351074,3.9645864879311405,0.02970395654580031,driving,1.1722602877009134,-1.0939528319446539
0.13500000000000004,0,-4.676618340944245,3.0443837284114474,-0.23551563905894757,0.39484013010752395,0.8643342728232329,3.534749667153659,0.03088153474109505,driving,1.173647101362166,-4.676618340944245
0.14000000000000004,0,-7.153461211387343,3.0691656483117513,-0.2291209688674466,0.40754014015163353,1.2832949941571379,3.214654194528528,0.03202713958543228,driving,1.1749646244501861,-7.153461211387343
0.14500000000000005,0,-7.842185718179949,3.086298347583642,-0.22205464666914881,0.4185986962826398,1.4187007369374955,2.909484971356785,0.03313741281877803,driving,1.1762163309976401,-7.842185718179949
